split,category,initials,text,source,approved,priority,note
train,basic_request,ㅇㅉㅂㅈ,이쪽 봐줘,curated_seed_v2,1,normal,
train,basic_request,ㅈㄱㄱㄷㄹㅈ,조금 기다려줘,curated_seed_v2,1,normal,
train,basic_request,ㅅㅈㅈㅇㅈ,손 좀 잡아줘,curated_seed_v2,1,normal,
train,basic_request,ㅇㄱㄴㅇㅈ,여기 놓아줘,curated_seed_v2,1,normal,
train,basic_request,ㅈㄱㄴㅇㅈ,저기 놓아줘,curated_seed_v2,1,normal,
train,basic_request,ㅇㄱㄱㅈㅇㅈ,이거 가져와줘,curated_seed_v2,1,normal,
train,basic_request,ㅎㄷㅍㄱㅈㅇㅈ,휴대폰 가져와줘,curated_seed_v2,1,normal,
train,basic_request,ㅇㄱㅈㅈ,안경 좀 줘,curated_seed_v2,1,normal,
train,basic_request,ㄹㅁㅋㄱㅈㅇㅈ,리모컨 가져와줘,curated_seed_v2,1,normal,
train,basic_request,ㅁㅈㄷㅇㅈ,문 좀 닫아줘,curated_seed_v2,1,normal,
train,basic_request,ㅎㅂㄷㅎㅈ,한 번 더 해줘,curated_seed_v2,1,normal,
train,basic_request,ㅈㄱㅊㅊㅎㅎㅈ,조금 천천히 해줘,curated_seed_v2,1,normal,
train,basic_request,ㅈㅅㅁㅊㅈ,잠시 멈춰줘,curated_seed_v2,1,normal,
train,basic_request,ㄴㅁㄷㅇㅈ,내 말 들어줘,curated_seed_v2,1,normal,
train,basic_request,ㅇㅉㅇㄹㅇㄱㅈ,이쪽으로 옮겨줘,curated_seed_v2,1,normal,
train,food_drink,ㅅㅇㅎㅁㅈ,시원한 물 줘,curated_seed_v2,1,normal,
train,food_drink,ㅈㅅㅈㅈ,주스 좀 줘,curated_seed_v2,1,normal,
train,food_drink,ㅊㅈㅈ,차 좀 줘,curated_seed_v2,1,normal,
train,food_drink,ㅃㄷㄴㅇㅈ,빨대 넣어줘,curated_seed_v2,1,normal,
train,food_drink,ㅋㅈㅈ,컵 좀 줘,curated_seed_v2,1,normal,
train,food_drink,ㅈㄱㄹㅈㅈ,젓가락 좀 줘,curated_seed_v2,1,normal,
train,food_drink,ㅈㅈㄱㅈ,죽 조금 줘,curated_seed_v2,1,normal,
train,food_drink,ㄱㄷㅈ,국 더 줘,curated_seed_v2,1,normal,
train,food_drink,ㅂㅈㄱㅈ,밥 조금 줘,curated_seed_v2,1,normal,
train,food_drink,ㅋㅇㄸㄹㅈ,컵에 따라줘,curated_seed_v2,1,normal,
train,food_drink,ㅅㅅㅁㅊㅈ,식사 멈춰줘,curated_seed_v2,1,normal,
train,food_drink,ㅈㄱㅅㅇㄷㅁㅈ,조금 쉬었다 먹자,curated_seed_v2,1,normal,
train,environment,ㅇㅇㅋㅈㄲㅈ,에어컨 좀 꺼줘,curated_seed_v2,1,normal,
train,environment,ㅅㅍㄱㅈㅋㅈ,선풍기 좀 켜줘,curated_seed_v2,1,normal,
train,environment,ㅅㅍㄱㅈㄲㅈ,선풍기 좀 꺼줘,curated_seed_v2,1,normal,
train,environment,ㄴㅂㅈㅋㅈ,난방 좀 켜줘,curated_seed_v2,1,normal,
train,environment,ㄴㅂㅈㄲㅈ,난방 좀 꺼줘,curated_seed_v2,1,normal,
train,environment,ㅋㅌㅈㄷㅇㅈ,커튼 좀 닫아줘,curated_seed_v2,1,normal,
train,environment,ㅊㅁㅈㅇㅇㅈ,창문 좀 열어줘,curated_seed_v2,1,normal,
train,environment,ㅊㅁㅈㄷㅇㅈ,창문 좀 닫아줘,curated_seed_v2,1,normal,
train,environment,ㅂㄹㅈㄴㅊㅈ,볼륨 좀 낮춰줘,curated_seed_v2,1,normal,
train,environment,ㅂㄹㅈㄴㅇㅈ,볼륨 좀 높여줘,curated_seed_v2,1,normal,
train,environment,ㅅㄹㅈㅈㅇㅈ,소리 좀 줄여줘,curated_seed_v2,1,normal,
train,environment,ㅅㄹㅈㅋㅇㅈ,소리 좀 키워줘,curated_seed_v2,1,normal,
train,environment,ㅈㅁㅇㄴㅊㅈ,조명을 낮춰줘,curated_seed_v2,1,normal,
train,environment,ㅈㅁㅇㄴㅇㅈ,조명을 높여줘,curated_seed_v2,1,normal,
train,environment,ㄱㄱㄱㄴㅁㄱㅈㅎ,공기가 너무 건조해,curated_seed_v2,1,normal,
train,positioning,ㄷㄹㅈㅇㄹㅈ,다리 좀 올려줘,curated_seed_v2,1,high,
train,positioning,ㄷㄹㅈㄴㄹㅈ,다리 좀 내려줘,curated_seed_v2,1,high,
train,positioning,ㅍㅈㅇㄹㅈ,팔 좀 올려줘,curated_seed_v2,1,high,
train,positioning,ㅂㄱㅈㄴㅇㅈ,베개 좀 높여줘,curated_seed_v2,1,high,
train,positioning,ㅂㄱㅈㄴㅊㅈ,베개 좀 낮춰줘,curated_seed_v2,1,high,
train,positioning,ㄷㅇㅈㄱㅅㅇㅈ,등을 조금 세워줘,curated_seed_v2,1,high,
train,positioning,ㅁㅇㅈㄱㄴㅎㅈ,몸을 조금 눕혀줘,curated_seed_v2,1,high,
train,positioning,ㄱㄱㅈㄷㄹㅈ,고개 좀 돌려줘,curated_seed_v2,1,high,
train,positioning,ㅅㅈㅍㅈ,손 좀 펴줘,curated_seed_v2,1,high,
train,positioning,ㅅㅇㄴㄹㅈ,손을 내려줘,curated_seed_v2,1,high,
train,positioning,ㅂㅇㅂㅊㅈ,발을 받쳐줘,curated_seed_v2,1,high,
train,positioning,ㅊㄷㄹㅇㄹㅈ,침대를 올려줘,curated_seed_v2,1,high,
train,positioning,ㅊㄷㄹㄴㄹㅈ,침대를 내려줘,curated_seed_v2,1,high,
train,positioning,ㅇㄲㄹㅂㅊㅈ,어깨를 받쳐줘,curated_seed_v2,1,high,
train,positioning,ㅎㄹㄹㅂㅊㅈ,허리를 받쳐줘,curated_seed_v2,1,high,
train,positioning,ㅁㅇㄱㅇㄷㄹㅇㄱㅈ,몸을 가운데로 옮겨줘,curated_seed_v2,1,high,
train,positioning,ㅈㄱㅇㅇㄹㄷㄹㅈ,조금 옆으로 돌려줘,curated_seed_v2,1,high,
train,pain_discomfort,ㅁㅇㄴㅁㅇㅍ,목이 너무 아파,curated_seed_v2,1,high,
train,pain_discomfort,ㅎㄹㄱㄴㅁㅇㅍ,허리가 너무 아파,curated_seed_v2,1,high,
train,pain_discomfort,ㄷㄹㄱㄴㅁㅇㅍ,다리가 너무 아파,curated_seed_v2,1,high,
train,pain_discomfort,ㄱㅅㅇㄷㄷㅎ,가슴이 답답해,curated_seed_v2,1,high,
train,pain_discomfort,ㅅㅇㄴㅁㅊ,숨이 너무 차,curated_seed_v2,1,high,
train,pain_discomfort,ㅅㄲㅇㅈㄹ,손끝이 저려,curated_seed_v2,1,high,
train,pain_discomfort,ㄴㅇㄸㄱㅇ,눈이 따가워,curated_seed_v2,1,high,
train,pain_discomfort,ㅇㅇㅇㄴㅁㅁㄹ,입안이 너무 말라,curated_seed_v2,1,high,
train,pain_discomfort,ㅁㅇㅈㄲㄸㄹ,몸이 자꾸 떨려,curated_seed_v2,1,high,
train,pain_discomfort,ㅎㄹㄱㅃㄱㅎ,허리가 뻐근해,curated_seed_v2,1,high,
train,pain_discomfort,ㅂㄱㄷㅂㄹㅎ,배가 더부룩해,curated_seed_v2,1,high,
train,pain_discomfort,ㅅㅇㅆㄹ,속이 쓰려,curated_seed_v2,1,high,
train,medical_communication,ㅅㅅㅍㅎㄷㅎㅇㅎㅈㅅㅇ,산소포화도 확인해주세요,curated_seed_v2,1,high,
train,medical_communication,ㅎㅎㅅㅌㅎㅇㅎㅈㅅㅇ,호흡 상태 확인해주세요,curated_seed_v2,1,high,
train,medical_communication,ㅇㅇㅇㅁㅁㅇㅇㅇ,약을 이미 먹었어요,curated_seed_v2,1,high,
train,medical_communication,ㅇㅇㅇㅈㅁㅁㅇㅇㅇ,약을 아직 못 먹었어요,curated_seed_v2,1,high,
train,medical_communication,ㅂㅎㅈㅇㄱㅇㄹㅎㅈㅅㅇ,보호자에게 연락해주세요,curated_seed_v2,1,high,
train,medical_communication,ㅎㅇㅎㅂㅎㅈㅅㅇ,흡인 한번 해주세요,curated_seed_v2,1,high,
train,medical_communication,ㅈㅅㄹㅎㅇㅎㅈㅅㅇ,자세를 확인해주세요,curated_seed_v2,1,high,
train,medical_communication,ㄱㅎㅅㅇㅈㅇㄴㅇ,간호사 언제 오나요,curated_seed_v2,1,high,
train,medical_communication,ㅇㅅㅇㅈㅇㄴㅇ,의사 언제 오나요,curated_seed_v2,1,high,
train,medical_communication,ㄱㅅㅅㄱㅇㅇㅈㅇㅇ,검사 시간이 언제예요,curated_seed_v2,1,high,
train,medical_communication,ㅈㅅㅂㅇㄱㅇㅍㅇ,주사 부위가 아파요,curated_seed_v2,1,high,
train,medical_communication,ㅇㄱㅅㄹㄱㅇㅎㄱㄱㅇㅇ,응급실로 가야 할 것 같아요,curated_seed_v2,1,high,
train,medical_communication,ㅅㅅㄹㅈㄱㅇㄹㅈㅅㅇ,산소를 조금 올려주세요,curated_seed_v2,1,high,
train,medical_communication,ㅌㅈㅇㅊㄹㅂㅈㅅㅇ,통증 위치를 봐주세요,curated_seed_v2,1,high,
train,medical_communication,ㅇㅇㄹㅇㅇㄹㅈㅅㅇ,약 이름을 알려주세요,curated_seed_v2,1,high,
train,schedule_time,ㅁㅅㅇㅇㄱㅇ,몇 시에 올 거야,curated_seed_v2,1,normal,
train,schedule_time,ㅇㅈㅊㅂㅎㄱㅇ,언제 출발할 거야,curated_seed_v2,1,normal,
train,schedule_time,ㅇㄴㅂㅇㅇㅇ,오늘 병원 있어,curated_seed_v2,1,normal,
train,schedule_time,ㅇㅎㅇㄴㅁㅎ,오후에는 뭐 해,curated_seed_v2,1,normal,
train,schedule_time,ㅈㄴㅇㄴㄴㄱㅇ,저녁에는 누가 와,curated_seed_v2,1,normal,
train,schedule_time,ㅇㅂㅈㅁㅇㅁㅎ,이번 주말에 뭐 해,curated_seed_v2,1,normal,
train,schedule_time,ㄷㅇㄷㅇㅁㄴㅈ,다음 달에 만나자,curated_seed_v2,1,normal,
train,schedule_time,ㅇㅊㅇㄲㅇㅈㄹ,아침에 깨워줄래,curated_seed_v2,1,normal,
train,schedule_time,ㅈㅅㅇㅇㅈㅁㅇ,점심은 언제 먹어,curated_seed_v2,1,normal,
train,schedule_time,ㅇㄴㅇㅁㅅㅇㅇㅇㅇ,오늘이 무슨 요일이야,curated_seed_v2,1,normal,
train,schedule_time,ㅇㅇㅅㄱㅇㅁㅅㅇ,예약 시간이 몇 시야,curated_seed_v2,1,normal,
train,schedule_time,ㄴㅇㅇㅈㅇㄹㅈ,내일 일정 알려줘,curated_seed_v2,1,normal,
train,schedule_time,ㅇㅂㅈㅇㅈㅇㄹㅈ,이번 주 일정 알려줘,curated_seed_v2,1,normal,
train,schedule_time,ㄷㅇㅇㅈㅇㅁㅇ,다음 일정이 뭐야,curated_seed_v2,1,normal,
train,social,ㅈㅁㅂㄱㅅㅇㅇ,정말 보고 싶었어,curated_seed_v2,1,normal,
train,social,ㅁㄴㅅㅂㄱㅇ,만나서 반가워,curated_seed_v2,1,normal,
train,social,ㅈㅈㄴㅈ,잘 지냈지,curated_seed_v2,1,normal,
train,social,ㅇㄴㅈㅁㅇㅇ,오늘 재밌었어,curated_seed_v2,1,normal,
train,social,ㅁㅇㅎㅇ,미안했어,curated_seed_v2,1,normal,
train,social,ㅈㅁㅊㅎㅎ,정말 축하해,curated_seed_v2,1,normal,
train,social,ㄴㄱㅊㅇ,너 괜찮아,curated_seed_v2,1,normal,
train,social,ㅁㅇㅅㄹㅎ,많이 사랑해,curated_seed_v2,1,normal,
