phrase_id,split,category,initials,text,partner,situation,recent_context,source,approved,priority,note
P0001,train,basic_request,ㅇㅉㅂㅈ,이쪽 봐줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0002,train,basic_request,ㅈㄱㄱㄷㄹㅈ,조금 기다려줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0003,train,basic_request,ㅅㅈㅈㅇㅈ,손 좀 잡아줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0006,train,basic_request,ㅇㄱㄴㅇㅈ,여기 놓아줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0007,train,basic_request,ㅈㄱㄴㅇㅈ,저기 놓아줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0008,train,basic_request,ㅇㄱㄱㅈㅇㅈ,이거 가져와줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0010,train,basic_request,ㅎㄷㅍㄱㅈㅇㅈ,휴대폰 가져와줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0011,train,basic_request,ㅇㄱㅈㅈ,안경 좀 줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0012,train,basic_request,ㄹㅁㅋㄱㅈㅇㅈ,리모컨 가져와줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0013,train,basic_request,ㅁㅈㄷㅇㅈ,문 좀 닫아줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0015,train,basic_request,ㅎㅂㄷㅎㅈ,한 번 더 해줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0016,train,basic_request,ㅈㄱㅊㅊㅎㅎㅈ,조금 천천히 해줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0018,train,basic_request,ㅈㅅㅁㅊㅈ,잠시 멈춰줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0019,train,basic_request,ㄴㅁㄷㅇㅈ,내 말 들어줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0020,train,basic_request,ㅇㅉㅇㄹㅇㄱㅈ,이쪽으로 옮겨줘,family,home,가족에게 일상적인 도움이나 물건 이동을 부탁하는 상황이다.,curated_seed_v2,1,normal,
P0021,train,food_drink,ㅅㅇㅎㅁㅈ,시원한 물 줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0023,train,food_drink,ㅈㅅㅈㅈ,주스 좀 줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0024,train,food_drink,ㅊㅈㅈ,차 좀 줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0027,train,food_drink,ㅃㄷㄴㅇㅈ,빨대 넣어줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0028,train,food_drink,ㅋㅈㅈ,컵 좀 줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0030,train,food_drink,ㅈㄱㄹㅈㅈ,젓가락 좀 줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0031,train,food_drink,ㅈㅈㄱㅈ,죽 조금 줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0032,train,food_drink,ㄱㄷㅈ,국 더 줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0033,train,food_drink,ㅂㅈㄱㅈ,밥 조금 줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0037,train,food_drink,ㅋㅇㄸㄹㅈ,컵에 따라줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0039,train,food_drink,ㅅㅅㅁㅊㅈ,식사 멈춰줘,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0040,train,food_drink,ㅈㄱㅅㅇㄷㅁㅈ,조금 쉬었다 먹자,family,meal,식사나 음료와 관련된 요구를 전달하는 상황이다.,curated_seed_v2,1,normal,
P0042,train,environment,ㅇㅇㅋㅈㄲㅈ,에어컨 좀 꺼줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0043,train,environment,ㅅㅍㄱㅈㅋㅈ,선풍기 좀 켜줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0044,train,environment,ㅅㅍㄱㅈㄲㅈ,선풍기 좀 꺼줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0045,train,environment,ㄴㅂㅈㅋㅈ,난방 좀 켜줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0046,train,environment,ㄴㅂㅈㄲㅈ,난방 좀 꺼줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0048,train,environment,ㅋㅌㅈㄷㅇㅈ,커튼 좀 닫아줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0049,train,environment,ㅊㅁㅈㅇㅇㅈ,창문 좀 열어줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0050,train,environment,ㅊㅁㅈㄷㅇㅈ,창문 좀 닫아줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0051,train,environment,ㅂㄹㅈㄴㅊㅈ,볼륨 좀 낮춰줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0052,train,environment,ㅂㄹㅈㄴㅇㅈ,볼륨 좀 높여줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0053,train,environment,ㅅㄹㅈㅈㅇㅈ,소리 좀 줄여줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0054,train,environment,ㅅㄹㅈㅋㅇㅈ,소리 좀 키워줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0055,train,environment,ㅈㅁㅇㄴㅊㅈ,조명을 낮춰줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0056,train,environment,ㅈㅁㅇㄴㅇㅈ,조명을 높여줘,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0058,train,environment,ㄱㄱㄱㄴㅁㄱㅈㅎ,공기가 너무 건조해,caregiver,home,"주변 온도, 빛, 소리, 공기를 조절하고 싶은 상황이다.",curated_seed_v2,1,normal,
P0063,train,positioning,ㄷㄹㅈㅇㄹㅈ,다리 좀 올려줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0064,train,positioning,ㄷㄹㅈㄴㄹㅈ,다리 좀 내려줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0065,train,positioning,ㅍㅈㅇㄹㅈ,팔 좀 올려줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0067,train,positioning,ㅂㄱㅈㄴㅇㅈ,베개 좀 높여줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0068,train,positioning,ㅂㄱㅈㄴㅊㅈ,베개 좀 낮춰줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0069,train,positioning,ㄷㅇㅈㄱㅅㅇㅈ,등을 조금 세워줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0070,train,positioning,ㅁㅇㅈㄱㄴㅎㅈ,몸을 조금 눕혀줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0071,train,positioning,ㄱㄱㅈㄷㄹㅈ,고개 좀 돌려줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0072,train,positioning,ㅅㅈㅍㅈ,손 좀 펴줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0073,train,positioning,ㅅㅇㄴㄹㅈ,손을 내려줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0074,train,positioning,ㅂㅇㅂㅊㅈ,발을 받쳐줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0075,train,positioning,ㅊㄷㄹㅇㄹㅈ,침대를 올려줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0076,train,positioning,ㅊㄷㄹㄴㄹㅈ,침대를 내려줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0077,train,positioning,ㅇㄲㄹㅂㅊㅈ,어깨를 받쳐줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0078,train,positioning,ㅎㄹㄹㅂㅊㅈ,허리를 받쳐줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0079,train,positioning,ㅁㅇㄱㅇㄷㄹㅇㄱㅈ,몸을 가운데로 옮겨줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0080,train,positioning,ㅈㄱㅇㅇㄹㄷㄹㅈ,조금 옆으로 돌려줘,caregiver,positioning,현재 자세가 불편해서 몸이나 침대 위치를 조절해야 하는 상황이다.,curated_seed_v2,1,high,
P0081,train,pain_discomfort,ㅁㅇㄴㅁㅇㅍ,목이 너무 아파,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0082,train,pain_discomfort,ㅎㄹㄱㄴㅁㅇㅍ,허리가 너무 아파,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0083,train,pain_discomfort,ㄷㄹㄱㄴㅁㅇㅍ,다리가 너무 아파,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0085,train,pain_discomfort,ㄱㅅㅇㄷㄷㅎ,가슴이 답답해,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0086,train,pain_discomfort,ㅅㅇㄴㅁㅊ,숨이 너무 차,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0089,train,pain_discomfort,ㅅㄲㅇㅈㄹ,손끝이 저려,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0094,train,pain_discomfort,ㄴㅇㄸㄱㅇ,눈이 따가워,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0095,train,pain_discomfort,ㅇㅇㅇㄴㅁㅁㄹ,입안이 너무 말라,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0096,train,pain_discomfort,ㅁㅇㅈㄲㄸㄹ,몸이 자꾸 떨려,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0098,train,pain_discomfort,ㅎㄹㄱㅃㄱㅎ,허리가 뻐근해,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0099,train,pain_discomfort,ㅂㄱㄷㅂㄹㅎ,배가 더부룩해,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
P0100,train,pain_discomfort,ㅅㅇㅆㄹ,속이 쓰려,medical_staff,pain,통증이나 신체 불편을 의료진 또는 보호자에게 알리는 상황이다.,curated_seed_v2,1,high,
